List of Peers from Seeds: 
Started mining
Block:1:40476:64571:1607346612|127.0.0.1:8000
Block:2:27287:22414:1607346622|127.0.0.1:8002
Block:3:56518:19068:1607346624|127.0.0.1:8001
Block:4:12571:48492:1607346625|127.0.0.1:8001
Block:5:21203:13913:1607346630|127.0.0.1:8001
Block:6:39374:54766:1607346639|127.0.0.1:8002
Block:7:58425:8096:1607346642|127.0.0.1:8001
Block:7:58425:46069:1607346644|127.0.0.1:8002
Block:8:56642:348:1607346644|127.0.0.1:8001
Block:9:19645:10832:1607346650|127.0.0.1:8001
Block:10:16224:29342:1607346653|127.0.0.1:8002
Block:10:16224:54220:1607346652|127.0.0.1:8001
Block:11:777:44286:1607346655|127.0.0.1:8001
Block:12:51363:61256:1607346659|127.0.0.1:8002
Block:13:26:2685:1607346660|127.0.0.1:8002
Block:12:51363:30670:1607346660|127.0.0.1:8001
Block:14:37475:7368:1607346664|127.0.0.1:8002
Block:14:37475:14777:1607346664|127.0.0.1:8001
Block:15:3086:33319:1607346668|127.0.0.1:8001
Block:15:42340:51671:1607346669|127.0.0.1:8002
Block:16:12904:50724:1607346670|127.0.0.1:8002
Block:17:27710:61341:1607346673|127.0.0.1:8002
Block:18:38685:26610:1607346673|127.0.0.1:8002
Block:17:27710:9043:1607346673|127.0.0.1:8001
Block:19:64085:45289:1607346677|127.0.0.1:8002
Block:19:64085:14084:1607346677|127.0.0.1:8001
Block:20:58243:28064:1607346678|127.0.0.1:8001
Block:21:3531:13055:1607346683|127.0.0.1:8001
Block:22:57372:27684:1607346689|127.0.0.1:8002
Block:22:57372:983:1607346690|127.0.0.1:8001
Block:23:33528:22278:1607346694|127.0.0.1:8001
Block:24:31096:18514:1607346697|127.0.0.1:8001
Block:25:40159:49837:1607346698|127.0.0.1:8001
Block:26:7816:13:1607346702|127.0.0.1:8002
Block:27:39214:60033:1607346703|127.0.0.1:8002
Block:28:44548:27402:1607346703|127.0.0.1:8002
Block:29:48616:47124:1607346707|127.0.0.1:8001
Block:30:56915:43305:1607346715|127.0.0.1:8001
Block:31:39150:55939:1607346723|127.0.0.1:8002
Block:32:8666:21142:1607346725|127.0.0.1:8001
Block:32:8666:588:1607346726|127.0.0.1:8002
Block:33:35995:52166:1607346728|127.0.0.1:8002
Block:34:4333:44609:1607346729|127.0.0.1:8002
Block:35:4407:36534:1607346731|127.0.0.1:8002
Block:35:4407:18247:1607346731|127.0.0.1:8001
Block:36:61152:47487:1607346734|127.0.0.1:8001
Block:36:54397:12646:1607346735|127.0.0.1:8002
Block:37:23987:41685:1607346735|127.0.0.1:8001
Block:38:15172:23392:1607346742|127.0.0.1:8001
Block:39:25791:94:1607346745|127.0.0.1:8001
Block:40:32933:4355:1607346746|127.0.0.1:8001
Block:41:46343:45772:1607346747|127.0.0.1:8001
Block:42:45327:9844:1607346750|127.0.0.1:8002
